feature,coefficient,abs_coefficient
texture_worst,1.423805810022453,1.423805810022453
radius_se,1.2436323485177132,1.2436323485177132
symmetry_worst,1.0591019174562026,1.0591019174562026
concave points_mean,0.9548136892686233,0.9548136892686233
area_se,0.9334057105582904,0.9334057105582904
area_worst,0.9240920610604203,0.9240920610604203
compactness_se,-0.9158403486374682,0.9158403486374682
concavity_worst,0.910626881666036,0.910626881666036
radius_worst,0.8965850868702375,0.8965850868702375
concavity_mean,0.7905353712831326,0.7905353712831326
perimeter_se,0.7591775741113435,0.7591775741113435
perimeter_worst,0.7260717907974835,0.7260717907974835
concave points_worst,0.6978823459751132,0.6978823459751132
fractal_dimension_se,-0.5812903385255256,0.5812903385255256
texture_mean,0.4839446017671861,0.4839446017671861
concave points_se,0.4680804693307914,0.4680804693307914
area_mean,0.44871920774767915,0.44871920774767915
compactness_mean,-0.44854843229506663,0.44854843229506663
smoothness_worst,0.42659914958035267,0.42659914958035267
texture_se,-0.40702483340742374,0.40702483340742374
radius_mean,0.3504613532171225,0.3504613532171225
perimeter_mean,0.34448897810192397,0.34448897810192397
smoothness_mean,0.34100026461427085,0.34100026461427085
symmetry_se,-0.3217487684344104,0.3217487684344104
smoothness_se,0.25202004339308626,0.25202004339308626
compactness_worst,-0.16772395042589056,0.16772395042589056
symmetry_mean,-0.16507747052901,0.16507747052901
concavity_se,-0.09917401982795143,0.09917401982795143
fractal_dimension_mean,-0.06822729276198018,0.06822729276198018
fractal_dimension_worst,0.05907524851034481,0.05907524851034481
